"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic"
"ACOT13",0.0705324942790459,-0.179209963354528,1.47290955023684,0.141538624850924,0.175036923570235,-6.78701386150407
"SMYD2",-0.0922718916856795,-0.127680625477407,-1.47275882482777,0.14157926112599,0.175076631183989,-6.78723491026283
"CPZ",-0.202491219268573,1.12877635176843,-1.47220704619699,0.141728099980522,0.175250129048974,-6.78804393907085
"NKX2-1",-0.117429135128832,-2.6291872595237,-1.47210426873179,0.141755836886639,0.175273869626758,-6.78819460029264
"CD8A",-0.233916957108445,0.104924747766635,-1.47153739800978,0.141908895434959,0.175448741827631,-6.78902538760952
"C3orf15",-0.229448935046701,1.3823671409944,-1.47149767832864,0.141919624765175,0.175448741827631,-6.789083587614
"ZNF256",-0.100998832365239,0.681250036305724,-1.47148553258926,0.141922905773574,0.175448741827631,-6.78910138407502
"CDKN1B",0.108883468287134,0.400147317867019,1.47100321437196,0.142053244836329,0.175599296513116,-6.78980798002907
"LOC678655",-0.0764097752744601,-0.199573118706286,-1.46968588825435,0.142409702057323,0.176029332484607,-6.79173669416045
"OR4C45",0.035306688963167,0.0185168421539609,1.46904098516001,0.142584458456454,0.176234734022335,-6.79268028162119
"ASB18",-0.0397755148741833,-0.0664360706421269,-1.4682415514583,0.14280131899169,0.176492148509987,-6.79384940105295
"LOC348021",-0.0299354045649091,-0.0468603195218973,-1.46802401461766,0.142860373660662,0.176554507058354,-6.79416742543649
"MYOF",-0.0917164026289974,1.50995908617984,-1.46766256449972,0.142958538021696,0.176665189043846,-6.79469573834337
"CDK19",-0.0981799096400359,0.0983112199781368,-1.46749337254272,0.143004505833905,0.176711358178047,-6.79494299322406
"WAS",0.139860919439126,-0.540138128858121,1.4672584366666,0.14306835450795,0.176779615892159,-6.79528627861595
"GC",-0.0242556474798207,-1.3477101737959,-1.46684600252071,0.143180495098,0.176907287343555,-6.79588879072825
"RPL36",-0.11351835357604,-0.300446532844915,-1.46681243388741,0.143189625366623,0.176907287343555,-6.79593782271538
"KRT86",0.255464073226508,0.358789111336205,1.46678337097235,0.143197530495626,0.176907287343555,-6.79598027253327
"HDDC3",0.0831789532358663,-0.125067314351722,1.46652434275282,0.143268001160884,0.176983697203981,-6.79635857705395
"ZNF566",-0.0706649034794573,0.286347951090147,-1.46618737406342,0.143359716105339,0.177086340050699,-6.79685061281346
"LSM11",0.0722993487062033,0.237915845818398,1.46558678433817,0.143523294566682,0.177277735241801,-6.79772730593133
"SNORD115-26",0.0485438391128267,-0.381711766609694,1.46520412970783,0.143627590469854,0.177395886917705,-6.79828568934428
"S100A13",0.115721941559965,0.580997866339991,1.46419147142033,0.143903880923712,0.177726443804597,-6.79976270055403
"ZNF286A",-0.0869502523028957,0.338912070657118,-1.46369868191519,0.144038479901837,0.177881977405241,-6.80048109239051
"ATP10A",0.155340362613252,0.795861164818373,1.46286115407549,0.14426746183062,0.178154044594444,-6.8017014970669
"DHRS4",-0.0899200786245646,0.0715614543342245,-1.46279452828901,0.144285689483465,0.178165836947886,-6.8017985512265
